,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Busselton,100,AU,1569181239,68,-33.64,115.35,282.04,7.63
1,Vaini,32,IN,1569181240,93,15.34,74.49,296.63,1.12
2,Kahului,1,US,1569181241,66,20.89,-156.47,303.15,3.6
3,Saskylakh,84,RU,1569181243,92,71.97,114.09,274.23,4.92
4,Morehead,1,US,1569181244,31,38.18,-83.43,305.15,7.7
5,Cetraro,100,IT,1569181245,99,39.52,15.94,295.37,4.28
6,Arraial do Cabo,75,BR,1569181246,88,-22.97,-42.02,295.15,3.6
7,Jamestown,79,AU,1569181247,93,-33.21,138.6,278.83,0.49
8,Ancud,20,CL,1569181249,62,-41.87,-73.83,285.15,2.6
9,Rikitea,35,PF,1569181250,83,-23.12,-134.97,294.23,8.66
10,Ushuaia,90,AR,1569181251,100,-54.81,-68.31,280.15,2.01
11,Saint-Philippe,90,CA,1569181252,65,45.36,-73.48,300.37,6.7
12,Bilozerka,0,UA,1569181254,67,46.63,32.45,288.15,4.0
13,Port Alfred,31,ZA,1569181255,79,-33.59,26.89,285.37,3.13
14,Avarua,100,CK,1569181049,88,-21.21,-159.78,296.15,0.5
15,Fairbanks,1,US,1569181257,86,64.84,-147.72,277.15,1.5
16,Port-Gentil,40,GA,1569181258,83,-0.72,8.78,299.15,5.1
17,Pevek,100,RU,1569181260,90,69.7,170.27,275.63,8.95
18,Tuatapere,67,NZ,1569181261,90,-46.13,167.69,280.93,2.24
19,Hobart,6,AU,1569180989,75,-42.88,147.33,279.82,1.5
20,Bilma,0,NE,1569181263,13,18.69,12.92,305.23,0.9
21,Nanortalik,0,GL,1569181265,86,60.14,-45.24,277.23,1.66
22,Kapaa,20,US,1569181023,74,22.08,-159.32,302.15,4.1
23,Bernalillo,1,US,1569181267,13,35.3,-106.55,300.93,4.6
24,Karratha,0,AU,1569181268,13,-20.74,116.85,290.03,6.03
25,Narsaq,0,GL,1569181269,70,60.91,-46.05,279.15,3.6
26,Yellowknife,75,CA,1569181271,82,62.45,-114.38,286.15,2.6
27,Mapiri,100,BO,1569181272,94,-15.31,-68.22,286.83,2.03
28,Lebu,99,ET,1569181273,90,8.96,38.73,286.63,0.86
29,Atuona,6,PF,1569181274,79,-9.8,-139.03,299.63,9.07
30,Saint George,20,GR,1569181275,77,39.45,22.34,290.15,2.6
31,Nacala,0,MZ,1569181277,90,-14.56,40.69,292.93,1.24
32,Bredasdorp,81,ZA,1569181278,66,-34.53,20.04,286.15,1.5
33,Andra,100,RU,1569181279,96,62.52,65.89,276.13,8.38
34,Kenai,1,US,1569181280,81,60.55,-151.26,282.59,2.46
35,Hambantota,90,LK,1569181282,100,6.12,81.12,298.15,2.1
36,Kanlagay,53,PH,1569181283,91,5.88,121.29,297.03,0.72
37,Plettenberg Bay,43,ZA,1569181284,79,-34.05,23.37,283.53,2.86
38,Kirillov,20,RU,1569181285,93,59.86,38.38,275.15,3.0
39,Seoul,40,KR,1569181107,63,37.57,126.98,291.15,4.1
40,Vao,0,EE,1569181288,70,59.1,26.19,278.93,3.44
41,Maniitsoq,0,GL,1569181289,84,65.42,-52.9,277.23,3.06
42,Isangel,98,VU,1569181290,68,-19.55,169.27,293.15,4.1
43,Honiara,75,SB,1569181291,94,-9.43,159.96,298.15,7.02
